KSHKOD,"TELNEV","TELNEV CLEAR",POP,SIZE_km2,latitude,longitude,SUBREG,SUBREGCENT,COUNTYCODE,COUNTYCENT,TOWN,REGION,UNIV
873,"Bakonycsernye","Bakonycsernye",3097,3813,47.32336,18.07243,3705,0,7,0,0,2,0
2154,"Múcsony","Mucsony",3095,1754,48.282331,20.662611,3504,0,5,0,0,5,0
2717,"Sajólád","Sajolad",3095,1268,48.03804,20.899485,3501,0,5,0,0,5,0
3148,"Nagyréde","Nagyrede",3091,3434,47.76491,19.856734,4004,0,10,0,0,5,0
359,"Abaújszántó","Abaujszanto",3088,4736,48.28209,21.187145,3512,0,5,0,1,5,0
1723,"Nagymágocs","Nagymagocs",3087,7509,46.58095,20.4857,3607,0,6,0,0,7,0
1536,"Hajmáskér","Hajmasker",3064,3814,47.14822,18.027315,4908,0,19,0,0,2,0
1177,"Sárszentmihály","Sarszentmihaly",3062,3740,47.15241,18.33627,3707,0,7,0,0,2,0
2518,"Jászjákóhalma","Jaszjakohalma",3049,4504,47.520124,19.985713,4601,0,16,0,0,6,0
593,"Karácsond","Karacsond",3045,3160,47.724233,20.031921,4004,0,10,0,0,5,0
3402,"Tokodaltáró","Tokodaltaro",3045,527,47.73156,18.693175,4101,0,11,0,0,2,0
1747,"Hajdúszovát","Hajduszovat",3038,5801,47.389908,21.473955,3905,0,9,0,0,6,0
726,"Lepsény","Lepseny",3029,3908,46.996095,18.24492,3703,0,7,0,0,2,0
921,"Földeák","Foldeak",3025,3637,46.31871,20.49305,3604,0,6,0,0,7,0
3031,"Zalalövõ","Zalalovo",3021,5264,46.846642,16.58522,5005,0,20,0,1,3,0
531,"Borsodnádasd","Borsodnadasd",3007,2808,48.12388,20.243126,3506,0,5,0,1,5,0
1034,"Zalakomár","Zalakomar",3000,5488,46.54765,17.175035,5009,0,20,0,0,3,0
3326,"Bélapátfalva","Belapatfalva",2996,3663,48.057275,20.352175,4007,1,10,0,1,5,0
3181,"Dánszentmiklós","Danszentmiklos",2996,3801,47.212535,19.54687,4302,0,13,0,0,1,0
345,"Boldog","Boldog",2975,2674,47.59934,19.69608,4005,0,10,0,0,5,0
2679,"Halászi","Halaszi",2973,3645,47.891206,17.330975,3804,0,8,0,0,3,0
944,"Gomba","Gomba",2972,3971,47.370959,19.530839,4305,0,13,0,0,1,0
1912,"Gyöngyössolymos","Gyongyossolymos",2972,6485,47.818371,19.932091,4004,0,10,0,0,5,0
3092,"Csabrendek","Csabrendek",2969,4494,47.014187,17.288494,4905,0,19,0,0,2,0
537,"Csanádpalota","Csanadpalota",2968,7776,46.24376,20.722335,3604,0,6,0,1,7,0
1660,"Balatonszabadi","Balatonszabadi",2956,4134,46.887075,18.143075,4408,0,14,0,0,4,0
2237,"Nagyigmánd","Nagyigmand",2948,5137,47.63137,18.075565,4104,0,11,0,0,2,0
3410,"Bocskaikert","Bocskaikert",2946,1089,47.64388,21.659776,3909,0,9,0,0,6,0
1425,"Apátfalva","Apatfalva",2941,5378,46.172255,20.586115,3604,0,6,0,0,7,0
263,"Öttevény","Otteveny",2935,2366,47.729191,17.485451,3802,0,8,0,0,3,0
2277,"Tiszabura","Tiszabura",2925,4520,47.44681,20.458165,4605,0,16,0,0,6,0
2335,"Madaras","Madaras",2924,4930,46.05881,19.26048,3302,0,3,0,0,7,0
1259,"Tiszadob","Tiszadob",2924,8261,48.00838,21.168595,4509,0,15,0,0,6,0
2491,"Szob","Szob",2915,1797,47.8195,18.86945,4308,1,13,0,1,1,0
276,"Tápiószõlõs","Tapioszolos",2914,3179,47.296495,19.83287,4302,0,13,0,0,1,0
3097,"Levelek","Levelek",2911,2573,47.965215,21.986216,4501,0,15,0,0,6,0
2052,"Tass","Tass",2906,7472,47.020153,19.032925,3309,0,3,0,0,7,0
1346,"Iváncsa","Ivancsa",2899,2517,47.150975,18.826845,3709,0,7,0,0,2,0
2880,"Nyírbogdány","Nyirbogdany",2899,3503,48.056264,21.872349,4511,0,15,0,0,6,0
2382,"Rétság","Retsag",2895,1981,47.92796,19.13731,4204,1,12,0,1,5,0
2605,"Hõgyész","Hogyesz",2876,3714,46.49633,18.418465,4705,0,17,0,0,4,0
